method,description,rows_before,rows_after,majority_before,majority_after,minority_before,minority_after,minority_share_before,minority_share_after,rows_added,rows_removed,synthetic_share,seconds
None,training fold left at its observed 13.4% default rate,43816,43816,37944,37944,5872,5872,0.13401497169983567,0.13401497169983567,0,0,0.0,0.0
Class weight,loss reweighted inversely to class frequency; no rows added or removed,43816,43816,37944,37944,5872,5872,0.13401497169983567,0.13401497169983567,0,0,0.0,0.0
Random over,minority rows duplicated at random until the classes are equal,43816,75888,37944,37944,5872,37944,0.13401497169983567,0.5,32072,0,0.4226228125658866,0.008795976638793945
Random under,majority rows discarded at random until the classes are equal,43816,11744,37944,5872,5872,5872,0.13401497169983567,0.5,0,32072,0.0,0.0036683082580566406
SMOTE,synthetic minority rows interpolated between a minority row and one of its k nearest minority neighbours,43816,75888,37944,37944,5872,37944,0.13401497169983567,0.5,32072,0,0.4226228125658866,0.3665902614593506
ADASYN,"as SMOTE, but generating more where the local neighbourhood is majority-dominated",43816,76746,37944,37944,5872,38802,0.13401497169983567,0.5055898678758503,32930,0,0.42907773695046,2.808354139328003
Tomek links,majority row of each mutually-nearest opposite-class pair removed,43816,41993,37944,36121,5872,5872,0.13401497169983567,0.13983282928107066,0,1823,0.0,23.237792015075684
ENN,row removed when its k nearest neighbours disagree with its label,43816,32140,37944,26268,5872,5872,0.13401497169983567,0.18270068450528937,0,11676,0.0,19.753655195236206
SMOTE-Tomek,"SMOTE, then Tomek links applied to the enlarged set",43816,75810,37944,37905,5872,37905,0.13401497169983567,0.5,31994,0,0.422543200105527,72.13465070724487
SMOTE-ENN,"SMOTE, then edited nearest neighbours applied to the enlarged set",43816,56472,37944,19235,5872,37237,0.13401497169983567,0.6593887236152429,12656,0,0.555407989800255,53.140931844711304
